,mean,std,2.5q,25q,50q,75q,97.5q,mc err
v_subj(control).27,-0.864371068934,0.315387586034,-1.4982993112,-1.06144225839,-0.860331185142,-0.647004702391,-0.266477877785,0.0096906013973
v_subj(control).28,0.780604109522,0.222730487286,0.350625290666,0.632436529164,0.778841904111,0.930541882919,1.22336097038,0.00590680185295
v_subj(control).29,2.09634888883,0.502192639657,1.13918731509,1.76827683871,2.08436968752,2.42598239272,3.11495344423,0.0147408699897
v_subj(control).30,0.909739932915,0.22542479102,0.487910108563,0.752540063029,0.904129388176,1.05511543681,1.37116562313,0.00591796641218
v_subj(control).31,0.0514423986271,0.195407546528,-0.322792126322,-0.0789853130356,0.047124850722,0.18121025785,0.439517972885,0.00551785291324
v_subj(control).32,0.115814822188,0.18621582689,-0.253848017553,-0.0102255952787,0.1183787281,0.239478351255,0.489047892441,0.00432090613603
v_subj(empathy).0,2.24644248574,0.580453130054,1.09868810279,1.85243820078,2.23466939606,2.63836015717,3.39601054156,0.0182472177785
v_subj(empathy).1,0.443652732849,0.21151394152,0.0462789556611,0.301724997365,0.440227386225,0.576884468704,0.877637072763,0.00580283769145
v_subj(empathy).2,-0.1378904633,0.250606371746,-0.632946883397,-0.307599701361,-0.140642990707,0.0296337809195,0.353795084133,0.00679325433323
v_subj(empathy).3,-0.0963445407495,0.228866496599,-0.545142601123,-0.254657747542,-0.0921099057436,0.062541310783,0.357554620491,0.00618616205253
v_subj(empathy).4,1.29347472318,0.315365212642,0.693274993761,1.07295677512,1.2927886053,1.51320482778,1.92882980472,0.0100339528665
v_subj(empathy).5,0.40271405805,0.289160934248,-0.156381633507,0.204818552461,0.404099079915,0.594140537378,0.958810055169,0.00864720059676
v_subj(empathy).6,-0.0583450492868,0.245293192742,-0.534289986938,-0.221556109244,-0.057669772012,0.103834411068,0.428546099516,0.00736056668156
v_subj(empathy).7,-0.014859543288,0.219344894928,-0.458367607222,-0.154077114921,-0.0137976057553,0.130322485635,0.410013776436,0.00526709208453
v_subj(empathy).8,-0.0288010979945,0.296021201393,-0.598972468827,-0.232785094699,-0.0310830705205,0.169334777209,0.562186250647,0.00821320433721
v_subj(empathy).9,0.433803744161,0.190318841175,0.0694655632279,0.30786937381,0.432382683516,0.553221992971,0.825410015581,0.00569139413422
v_subj(empathy).10,0.253915018168,0.19831780356,-0.13536618053,0.122646859378,0.253232028597,0.382539343365,0.647310954008,0.00534063361874
v_subj(empathy).11,0.197903230638,0.294300877652,-0.368899255686,-0.00119239086153,0.197388112534,0.399811681235,0.785838005495,0.0084335725716
v_subj(empathy).12,-0.138337701164,0.202335509876,-0.527053606383,-0.275226888903,-0.138284763387,0.000279404747797,0.248720227321,0.00457436025364
v_subj(empathy).13,1.70485998589,0.370499457688,0.9584541275,1.46166687485,1.70661601346,1.95046145868,2.4635628004,0.0114025798378
v_subj(empathy).14,1.35365813267,0.314173069175,0.752847078016,1.1403309842,1.34792565216,1.56227538086,1.98930544567,0.00922361006257
v_subj(empathy).15,0.762977852402,0.30517645785,0.158447125988,0.559423406935,0.761451640586,0.972403646079,1.33994011747,0.00764294831968
v_subj(empathy).16,0.226037403417,0.200467376759,-0.172131899757,0.0965920430665,0.22558916944,0.359679899423,0.629560558033,0.00523791401191
v_subj(empathy).17,0.200222342379,0.298537824381,-0.356910364591,-0.00540233841835,0.199089567704,0.393351757926,0.797442056039,0.0082906071355
v_subj(empathy).18,0.44987547547,0.188082119012,0.0949492030952,0.320435734546,0.445603339868,0.57170750982,0.83106445227,0.00484656388879
v_subj(empathy).19,0.001922648918,0.221744235988,-0.44673297401,-0.146120357335,0.000989116286932,0.151018635545,0.436864768067,0.00555002932039
v_subj(empathy).20,-0.304148272539,0.195716008817,-0.690906372428,-0.438962525078,-0.306929556577,-0.174801802268,0.101211052413,0.00512150788898
v_subj(empathy).21,0.868931037783,0.290419240656,0.299752643339,0.670010846067,0.87318631762,1.06644313445,1.44826363079,0.00789535651374
v_subj(empathy).22,1.1419298885,0.241237802316,0.688354294474,0.973609089315,1.13791782401,1.30090267077,1.6334063155,0.00680838850464
v_subj(empathy).23,1.0486802388,0.329764329961,0.434140868227,0.821222797456,1.05041691933,1.27285365623,1.67802572814,0.00928057870561
v_subj(empathy).24,0.734915129854,0.214562791597,0.304765969435,0.588983285423,0.728851531389,0.874315776084,1.17141355407,0.00498106252258
